"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042698","BP","GO:0042698","ovulation cycle","22/1218","75/18614",1.33288477641984e-09,6.11672941033395e-07,5.06113568692241e-07,"PGR/NPY5R/ESR1/IGF1R/BMPR1B/PTX3/CGA/OPRL1/TIMP4/PTN/LEP/CA12/GAS2/NHLH2/GDF9/NR5A1/GDF10/ROBO2/NPPC/GABRB1/OPRK1/LHCGR",22
"GO:0001505","BP","GO:0001505","regulation of neurotransmitter levels","39/1218","211/18614",3.19149594130176e-09,1.34255595930761e-06,1.11086455220047e-06,"RIMS4/PRRT2/GFAP/CPLX1/SNAP25/BCHE/ABAT/SYN1/SYT1/DOC2A/PAH/SYN2/GAD1/SLC1A2/SV2A/ATP1A2/BAIAP3/SYP/MAOA/SLC6A4/SYT9/NR4A1/MAOB/SV2B/SYT8/SLC18A1/PTPRN2/DOC2B/DRD2/NLGN1/CPLX2/NPY/SLC17A8/P2RY4/GRM4/SLC6A2/SYT4/UNC13A/SLC5A7",39
"GO:0007611","BP","GO:0007611","learning or memory","46/1218","276/18614",4.09236664232782e-09,1.5890974469593e-06,1.31485917706533e-06,"ADCY1/NTRK2/MAPT/GRIA1/GRPR/S100B/BDNF/PRRT1/SNAP25/OPRL1/BCHE/BTG2/PTN/PTPRZ1/KLK8/PTGS2/NTF4/ARC/CX3CR1/ATP1A2/SORCS3/EN1/HTR2A/KCNK2/GLP1R/SLC6A4/C1QL1/NTF3/FZD9/CHRNB2/FOS/GABRA5/CNR1/ADCY8/GRIN2A/TACR1/CNTN2/DRD2/LRRN4/NPAS4/LMX1A/SLC1A1/SYT4/CALB1/TBR1/OPRK1",46
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","46/1218","278/18614",5.17476747536868e-09,1.80543562616871e-06,1.49386282522259e-06,"MAG/CDHR3/DSG1/CELSR2/DSG3/CADM2/DSC3/PCDH19/CLSTN2/FAT2/CELSR1/CDH19/MPZ/PTPRT/CRB1/BMP2/CNTN4/DCHS2/CLDN19/CADM3/AMIGO2/SDK2/CDHR4/CLDN11/APOA1/PCDH8/ADIPOQ/CDH22/MYOT/CDH7/PCDH11X/SLITRK3/CNTN2/UNC5D/ROBO2/NLGN1/CDH20/IL1RAPL1/CDH18/CDH4/NTNG1/DAB1/KIRREL3/UMOD/CLDN6/PCDH15",46
"GO:0050808","BP","GO:0050808","synapse organization","65/1218","466/18614",5.4889846858543e-09,1.80543562616871e-06,1.49386282522259e-06,"IGF1R/NTRK3/NTRK2/MAPT/DOK7/SEZ6L/NOS1AP/CBLN2/BCAN/BDNF/PRRT1/SLIT1/SLITRK6/GLRB/SYN1/CACNB2/NEFH/CLSTN2/KLK8/NEFL/EPHB1/SYBU/ZDHHC2/ARC/EFNB3/CX3CR1/ADD2/AMIGO2/SDK2/GPM6A/HAPLN4/PCDH8/NPTX1/LHFPL4/C1QL1/ICAM5/FZD9/CHRNB2/BSN/PAK3/LRRN3/MYOT/CTTNBP2/ERBB4/SEZ6/SLITRK3/CNTN2/DRD2/ROBO2/NLGN1/NPAS4/EPHA7/LMX1A/IL1RAPL1/KY/SLC1A1/CAMKV/NTNG1/UNC13A/KIRREL3/RAPSN/POU4F1/LRTM2/GABRA1/LRRTM1",65
"GO:0007613","BP","GO:0007613","memory","28/1218","124/18614",5.72245840307041e-09,1.80543562616871e-06,1.49386282522259e-06,"ADCY1/MAPT/GRIA1/S100B/BDNF/PTN/KLK8/PTGS2/NTF4/ARC/CX3CR1/SORCS3/HTR2A/KCNK2/SLC6A4/NTF3/CHRNB2/CNR1/ADCY8/GRIN2A/TACR1/DRD2/LRRN4/NPAS4/LMX1A/SLC1A1/SYT4/CALB1",28
"GO:0050890","BP","GO:0050890","cognition","49/1218","317/18614",1.63113171511058e-08,4.84350170463425e-06,4.00763507464941e-06,"ADCY1/NTRK2/MAPT/GRIA1/GRPR/S100B/BDNF/PRRT1/SNAP25/OPRL1/BCHE/FAM107A/BTG2/PTN/PTPRZ1/KLK8/PTGS2/NTF4/ARC/CX3CR1/ATP1A2/SORCS3/MGAT3/EN1/HTR2A/KCNK2/GLP1R/SLC6A4/C1QL1/NTF3/FZD9/CHRNB2/FOS/GABRA5/CNR1/ADCY8/GRIN2A/TACR1/CNTN2/DRD2/LRRN4/NPAS4/LMX1A/SLC1A1/SYT4/CALB1/TBR1/OPRK1/LHCGR",49
"GO:0007218","BP","GO:0007218","neuropeptide signaling pathway","25/1218","109/18614",2.66279891919287e-08,7.46767163560312e-06,6.17893924640779e-06,"NPY1R/NPY5R/PYY/GRPR/NXPH3/SORCS1/OPRL1/GLRB/GPR139/CARTPT/TAC1/ADCYAP1/NPY6R/SORCS3/NTS/KISS1R/NPY2R/QRFPR/NMUR1/NPY/CALCA/NTSR2/PCSK1N/OPRK1/PROKR2",25
"GO:0048839","BP","GO:0048839","inner ear development","35/1218","193/18614",3.35178157831712e-08,8.90515442491832e-06,7.36834864418965e-06,"COL2A1/NTRK3/ATP6V1B1/FGF10/FGF2/FGFR2/SLITRK6/DLX6/BMPER/EYA1/MYO3B/CHRNA9/FGF9/SLC26A5/HPCA/GATA3/BMP2/FRZB/GJB6/MYO15A/KCNK2/HPN/MYO3A/KCNK3/DLX5/GABRA5/EYA4/FOXG1/KCNQ4/SLC17A8/FREM2/FGF20/CALB1/PVALB/PCDH15",35
"GO:0043583","BP","GO:0043583","ear development","38/1218","221/18614",3.8750762045115e-08,9.78069234018703e-06,8.09279072605349e-06,"COL2A1/BCL2/NTRK3/OSR1/ATP6V1B1/FGF10/FGF2/FGFR2/SLITRK6/DLX6/BMPER/EYA1/MYO3B/CHRNA9/FGF9/SLC26A5/HPCA/GATA3/BMP2/FRZB/GJB6/MYO15A/BMP5/KCNK2/HPN/MYO3A/KCNK3/DLX5/GABRA5/EYA4/FOXG1/KCNQ4/SLC17A8/FREM2/FGF20/CALB1/PVALB/PCDH15",38
"GO:0042886","BP","GO:0042886","amide transport","51/1218","349/18614",5.46174894418243e-08,1.25271162105233e-05,1.03652508806732e-05,"NPY5R/TRH/NTRK2/LRP2/IRS2/SFRP1/IRS1/EDN3/CPLX1/SYTL4/SNAP25/GJA1/ABAT/CARTPT/SLC14A1/NNAT/CHGA/SLC14A2/CHRM3/LEP/ADCYAP1/ABCG2/SLC1A2/ATP1A2/BAIAP3/RFX6/SLC30A8/CA2/SYT9/CRHR1/ABCA13/MYRIP/GCK/CNR1/ADCY8/AQP7/GRM7/PTPRN2/DOC2B/GHRH/DRD2/RBP4/SLC17A8/G6PC2/SLC1A1/SYT4/POU3F3/UMOD/SPINK1/AQP7P3/NR0B2",51
"GO:0097305","BP","GO:0097305","response to alcohol","41/1218","252/18614",5.67870193002279e-08,1.25271162105233e-05,1.03652508806732e-05,"IGF1R/ADCY1/KCNC2/NTRK3/SFRP1/FGFR2/TGFBR3/CA3/ABAT/RGS7/NEFL/MLC1/UCP1/LEP/SCNN1G/CCND1/GATA3/PTGER2/PTGFR/SCNN1D/ADIPOQ/CRHR1/MAOB/CHRNB2/FOS/FOSB/CNR1/ADCY8/GRIN2A/TACR1/DRD2/FGF19/NPPC/NPAS4/P2RY4/ADH6/OPRK1/ADH7/SPINK1/CSN1S1/NR0B2",41
"GO:0006821","BP","GO:0006821","chloride transport","25/1218","113/18614",5.7076797314191e-08,1.25271162105233e-05,1.03652508806732e-05,"CLIC6/WNK4/GLRA3/TTYH1/GLRB/ANO9/SLC26A5/CLCA4/FXYD1/SLC4A10/CA2/OCA2/NMUR1/ANO4/GABRA5/ANO2/SLC26A9/SLC17A8/P2RY4/SLC1A1/GABRB1/SLC6A14/GABRG1/GABRA4/GABRA1",25
"GO:0034329","BP","GO:0034329","cell junction assembly","60/1218","444/18614",6.78412586858121e-08,1.42692780769158e-05,1.18067594063729e-05,"BCL2/PARD6B/NTRK3/NTRK2/CDHR3/DSG1/SFRP1/LAMA3/CBLN2/BDNF/WNT4/SLIT1/GJA1/SLITRK6/WNT11/ZNF703/CLSTN2/FAM107A/EPHB1/CDH19/EFNB3/ADD2/CLDN19/GJB6/COL17A1/FRMPD2/AMIGO2/SDK2/CLDN11/GPM6A/UGT8/EPHA3/HAPLN4/NPTX1/LHFPL4/ICAM5/CHRNB2/MYOC/BSN/CDH22/LRRN3/CDH7/ERBB4/SLITRK3/DRD2/ROBO2/NLGN1/NPAS4/EPHA7/CDH20/IL1RAPL1/CDH18/NPHS1/CDH4/KIRREL3/POU4F1/LRTM2/CLDN6/GABRA1/LRRTM1",60
"GO:0015837","BP","GO:0015837","amine transport","24/1218","107/18614",7.93149035380253e-08,1.60152653223981e-05,1.32514331469004e-05,"NPY5R/TRH/ABAT/SYT1/CARTPT/CHGA/LEP/SV2A/ATP1A2/HTR2A/SLC22A16/SYT9/CHRNB2/SYT8/CNR1/SLC18A1/GRM7/DRD2/SLC17A8/SYT4/RHCG/FGF20/OPRK1/SYT10",24
"GO:0043062","BP","GO:0043062","extracellular structure organization","47/1218","315/18614",9.58783719981438e-08,1.86151546864088e-05,1.54026469671512e-05,"MIA/COL2A1/PTX3/FOXC1/THSD4/GFAP/COL27A1/FOXC2/C6orf15/TEX14/SERPINB5/ANGPTL7/KLK5/ELN/FERMT1/ADAMTS18/ADAMTS15/TMPRSS6/MMP7/BMP2/LOXL4/COL17A1/SMOC2/COL9A3/GAS2/ADAMTS8/KLK7/MYH11/HPN/COL14A1/COL9A1/CTSG/PRSS1/CMA1/COL22A1/MMP20/ELANE/VTN/HAPLN2/COL28A1/COL4A6/HAS1/MMP27/NPHS1/SMOC1/WDR72/ADAMTS20",47
"GO:0006836","BP","GO:0006836","neurotransmitter transport","35/1218","202/18614",1.08825321737526e-07,2.03463045974456e-05,1.68350439241522e-05,"RIMS4/SLC6A15/PRRT2/GFAP/CPLX1/SNAP25/SYN1/SYT1/DOC2A/SYN2/SLC1A2/SV2A/ATP1A2/BAIAP3/SYP/SLC6A4/SYT9/NR4A1/SV2B/SYT8/SLC18A1/PTPRN2/DOC2B/DRD2/NLGN1/CPLX2/NPY/SLC17A8/P2RY4/GRM4/SLC6A2/SLC1A1/SYT4/UNC13A/SLC5A7",35
"GO:0048638","BP","GO:0048638","regulation of developmental growth","48/1218","328/18614",1.28197598335635e-07,2.31121955856531e-05,1.91236116614962e-05,"NPY1R/STC2/BCL2/MAG/GDF5/MAPT/FOXC1/FGF2/WNT3/CGA/FGFR2/SEMA3B/TGFBR3/RND2/SPTBN4/SEMA6A/BDNF/SLIT1/FOXC2/MYOZ1/SYT1/SEMA3G/FGF9/LEP/MAP2/SPAAR/IGF2/KCNK2/SLC6A4/SEMA6D/FGFR3/ERBB4/ADRB1/VIL1/GHRH/DRD2/NPPC/NKX2-5/RBP4/EPHA7/PI16/SYT4/BCL11A/CDH4/UNC13A/FGF20/MAEL/MT3",48
"GO:0045471","BP","GO:0045471","response to ethanol","26/1218","126/18614",1.38322624324851e-07,2.40776761238568e-05,1.99224745307081e-05,"IGF1R/KCNC2/NTRK3/FGFR2/CA3/ABAT/RGS7/LEP/CCND1/GATA3/ADIPOQ/CRHR1/MAOB/CHRNB2/FOS/CNR1/GRIN2A/TACR1/DRD2/FGF19/NPPC/ADH6/OPRK1/ADH7/SPINK1/NR0B2",26
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","30/1218","160/18614",1.47634089555985e-07,2.48418961359538e-05,2.05548093809877e-05,"SERPINA6/SERPINA3/SIAH2/CST5/SERPINA5/SERPINA11/TIMP4/SERPINA4/SERPINB5/PTGS2/SERPINA12/ANXA8/CST2/SERPINA10/SERPINB7/NR4A1/SERPINB2/SERPINA1/SERPINI1/SPOCK3/SERPINB13/VTN/CRYAB/SERPINB4/VIL1/SERPINA9/SERPINB3/PCSK1N/MT3/SPINK1",30
"GO:0050806","BP","GO:0050806","positive regulation of synaptic transmission","31/1218","170/18614",1.76922219347545e-07,2.88097859118195e-05,2.38379411331429e-05,"ADCY1/NTRK2/RIMS4/MPP2/GFAP/PRRT1/SNAP25/SYT1/CLSTN2/FAM107A/PTN/PTGS2/ZDHHC2/ARC/EFNB3/CX3CR1/BAIAP3/CA2/GRIN2C/ADRA1A/ADCY8/GRIN2A/TACR1/DRD2/NLGN1/LGI1/SLC7A10/SLC1A1/RAPSN/CALB1/LRRTM1",31
"GO:0030198","BP","GO:0030198","extracellular matrix organization","46/1218","314/18614",2.26294801681881e-07,3.56980049653167e-05,2.95374267458455e-05,"MIA/COL2A1/PTX3/FOXC1/THSD4/GFAP/COL27A1/FOXC2/C6orf15/SERPINB5/ANGPTL7/KLK5/ELN/FERMT1/ADAMTS18/ADAMTS15/TMPRSS6/MMP7/BMP2/LOXL4/COL17A1/SMOC2/COL9A3/GAS2/ADAMTS8/KLK7/MYH11/HPN/COL14A1/COL9A1/CTSG/PRSS1/CMA1/COL22A1/MMP20/ELANE/VTN/HAPLN2/COL28A1/COL4A6/HAS1/MMP27/NPHS1/SMOC1/WDR72/ADAMTS20",46
"GO:0072073","BP","GO:0072073","kidney epithelium development","28/1218","146/18614",2.33917316932741e-07,3.5758338710187e-05,2.95873484031241e-05,"BCL2/OSR1/IRX1/WNK4/FOXC1/SFRP1/FGF2/FGFR2/WNT4/CITED1/FOXC2/SOX8/WNT11/BMPER/MAGI2/EYA1/MYC/GATA3/BMP2/ADIPOQ/GREB1L/ROBO2/EPHA7/SIM1/NPHS1/POU3F3/UMOD/CALB1",28
"GO:0051346","BP","GO:0051346","negative regulation of hydrolase activity","49/1218","345/18614",2.40844595116157e-07,3.5758338710187e-05,2.95873484031241e-05,"SERPINA6/CST9/SERPINA3/PI15/PPP4R4/SIAH2/PTX3/PLIN5/CST5/SERPINA5/SERPINA11/CST9L/TIMP4/RGN/SERPINA4/TFPI2/SERPINB5/PTGS2/SERPINA12/ANXA8/CST2/APOA1/SERPINA10/SERPINB7/NR4A1/SERPINB2/SERPINA1/SERPINI1/SPOCK3/SERPINB13/SPINK4/VTN/CRYAB/SERPINB4/COL28A1/VIL1/WFDC2/SERPINA9/ITIH2/PI16/WFIKKN2/SERPINB3/PCSK1N/MT3/PZP/SPINK1/HMSD/WFDC13/CST11",49
"GO:0006820","BP","GO:0006820","monoatomic anion transport","28/1218","147/18614",2.71203728142483e-07,3.9115326276093e-05,3.23650043088534e-05,"PDZK1/CLIC6/WNK4/GLRA3/TTYH1/GLRB/ANO9/SLC26A5/CLCA4/FXYD1/SLC4A10/CA2/OCA2/NMUR1/ANO4/GABRA5/SLC13A5/ANO2/SLC26A9/SLC17A8/P2RY4/SLC1A1/GABRB1/SLC6A14/SLC13A2/GABRG1/GABRA4/GABRA1",28
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","46/1218","317/18614",2.99525885356549e-07,4.20001852577739e-05,3.47520091548183e-05,"MIA/COL2A1/PTX3/FOXC1/THSD4/GFAP/COL27A1/FOXC2/C6orf15/SERPINB5/ANGPTL7/KLK5/ELN/FERMT1/ADAMTS18/ADAMTS15/TMPRSS6/MMP7/BMP2/LOXL4/COL17A1/SMOC2/COL9A3/GAS2/ADAMTS8/KLK7/MYH11/HPN/COL14A1/COL9A1/CTSG/PRSS1/CMA1/COL22A1/MMP20/ELANE/VTN/HAPLN2/COL28A1/COL4A6/HAS1/MMP27/NPHS1/SMOC1/WDR72/ADAMTS20",46
"GO:0006936","BP","GO:0006936","muscle contraction","49/1218","349/18614",3.42598719120789e-07,4.67415765978849e-05,3.86751555468362e-05,"KCNE4/PTGER3/NOS1AP/EDN3/GJA1/ABAT/CACNB2/SCN4B/KCNJ3/SYNM/CHGA/PTGS2/CHRM3/TNNC1/ATP1A2/SCN2B/KCNIP2/FXYD1/CASQ1/DES/MYH11/HTR2A/SCN5A/CACNA1G/KCND3/KCNE1/STAC/CASQ2/TNNI2/NR4A1/NMUR1/CHRNB2/KCNB2/CTNNA3/TNNT3/MYOT/SCN7A/CKMT2/ADRA1A/CRYAB/MYBPH/GNAO1/TACR1/DRD2/NKX2-5/SMPX/CALCA/MYH7/GATA4",49
"GO:0006813","BP","GO:0006813","potassium ion transport","38/1218","241/18614",3.91788822532364e-07,5.11372281974441e-05,4.2312228185724e-05,"KCNC2/WNK4/KCNE4/NOS1AP/KCNF1/EDN3/KCNK15/KCNJ16/RGS7/KCNJ3/KCNH8/KCNK5/KCNQ3/ATP1A2/KCNIP2/FXYD1/KCNQ5/HTR2A/KCNC1/KCNK2/KCND3/HPN/KCNE1/KCNK3/CASQ2/KCNIP1/KCNB2/GCK/KCNH1/HCN1/KCNH3/KCNQ4/DRD2/DPP6/ATP1A4/OPRK1/ATP12A/KCNA4",38
"GO:0090102","BP","GO:0090102","cochlea development","15/1218","50/18614",4.0475790277012e-07,5.11372281974441e-05,4.2312228185724e-05,"NTRK3/SLITRK6/EYA1/MYO3B/SLC26A5/GATA3/FRZB/KCNK2/HPN/MYO3A/KCNK3/GABRA5/SLC17A8/CALB1/PVALB",15
"GO:0034765","BP","GO:0034765","regulation of monoatomic ion transmembrane transport","61/1218","478/18614",4.05207830407639e-07,5.11372281974441e-05,4.2312228185724e-05,"PDZK1/BCL2/KCNC2/OSR1/PLP1/CLIC6/KCNE4/NOS1AP/KCNF1/EDN3/KCNK15/OPRL1/KCNJ16/CACNB2/RGS7/RGN/SCN4B/KCNJ3/ANO9/KCNH8/KCNK5/CACNA1F/RAMP3/KCNQ3/SLC26A5/ARC/CACNA2D3/HPCA/ATP1A2/SCN2B/KCNIP2/FXYD1/CASQ1/KCNQ5/KCNC1/SCN5A/CACNA1G/KCND3/KCNE1/KCNK3/CRHR1/STAC/CASQ2/KCNIP1/KCNB2/CACNA2D2/GRIN2C/SCN7A/KCNH1/TESC/HCN1/GRIN2A/WNK3/KCNH3/KCNQ4/DPP6/CALHM1/CACNG6/OPRK1/KCNA4/LHCGR",61
"GO:1903522","BP","GO:1903522","regulation of blood circulation","40/1218","261/18614",4.20066280046622e-07,5.17193800408621e-05,4.27939152560974e-05,"AGTR1/KCNE4/NOS1AP/EDN3/SPTBN4/GJA1/CACNB2/SCN4B/KCNJ3/CHGA/PTGS2/CHRM3/LEP/ATP1A2/SCN2B/KCNIP2/FXYD1/DES/HTR2A/SCN5A/CACNA1G/KCND3/GLP1R/KCNE1/CASQ2/CTNNA3/ADRA1D/ATP2B2/HCN1/ADRA1A/S100A1/ADRB1/TACR1/DRD2/NKX2-5/FOXN4/SLC1A1/CALCA/MYH7/GATA4",40
"GO:0046942","BP","GO:0046942","carboxylic acid transport","49/1218","352/18614",4.44063443270677e-07,5.22326367550378e-05,4.32185967645321e-05,"NPY5R/TRH/NTRK2/LRP2/SLC6A15/IRS2/SLC7A4/RBP7/GFAP/SLC7A3/GJA1/SLC16A11/ABAT/SLC27A6/PTGS2/LEP/SLC26A5/ABCG2/SLC1A2/SV2A/ATP1A2/SLCO1A2/PTGES/SLC7A2/PLA2G4A/SLC27A2/SLC13A5/FABP4/SLC38A11/SLC16A6/GRM7/CRABP1/PLA2G10/SLC16A12/SLC26A9/SLC22A11/DRD2/FGF19/SLC7A14/SLC7A10/SLC17A8/SLC1A1/SYT4/SLC6A14/SLC13A2/CYP4F2/UMOD/LHCGR/NR0B2",49
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","30/1218","168/18614",4.44929354292121e-07,5.22326367550378e-05,4.32185967645321e-05,"CDHR3/DSG1/CELSR2/DSG3/CADM2/DSC3/PCDH19/CLSTN2/FAT2/CELSR1/CDH19/PTPRT/CNTN4/DCHS2/CADM3/AMIGO2/SDK2/CDHR4/PCDH8/CDH22/MYOT/CDH7/PCDH11X/CNTN2/ROBO2/CDH20/CDH18/CDH4/KIRREL3/PCDH15",30
